val,perc,sel_perc
7.36,1.88,2
7.31,3.75,4
7.27,6.25,6
7.25,8.12,8
7.23,10,10
7.22,11.88,12
7.2,13.75,14
7.18,16.25,16
7.16,18.12,18
7.14,20,20
7.12,21.88,22
7.09,23.75,24
7.05,26.25,26
7.03,28.12,28
7,30,30
6.98,31.87,32
6.96,33.75,34
6.91,36.25,36
6.88,38.12,38
6.85,40,40
6.81,41.88,42
6.78,43.75,44
6.74,46.25,46
6.71,48.12,48
6.68,50,50
6.65,51.88,52
6.63,53.75,54
6.59,56.25,56
6.56,58.13,58
6.53,60,60
6.51,61.88,62
6.48,63.75,64
6.45,66.25,66
6.42,68.12,68
6.4,70,70
6.37,71.88,72
6.35,73.75,74
6.32,76.25,76
6.29,78.12,78
6.27,80,80
6.25,81.88,82
6.23,83.75,84
6.2,86.25,86
6.18,88.12,88
6.16,90,90
6.13,91.88,92
6.11,93.75,94
6.08,96.25,96
6.06,98.12,98
6.04,100,100